,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,min_processo
1044,L,298.2,308.2,1407,47.1,153,No Failure,76.5
1045,M,298.1,308.2,1654,35.3,155,No Failure,51.666666666666664
1046,L,298.2,308.3,1230,59.6,162,No Failure,81.0
1047,L,298.2,308.3,2057,18.0,168,No Failure,84.0
1048,L,298.3,308.4,1490,41.7,170,No Failure,85.0
1049,L,298.3,308.4,1593,37.0,174,No Failure,87.0
1050,M,298.3,308.4,1444,47.5,178,No Failure,59.333333333333336
1051,M,298.2,308.3,1560,33.0,181,No Failure,60.333333333333336
1052,H,298.1,308.3,1530,42.0,184,No Failure,36.8
1053,L,298.2,308.4,1310,61.0,189,Overstrain Failure,94.5
1054,M,298.2,308.3,1639,33.3,191,No Failure,63.666666666666664
1055,L,298.2,308.3,1400,48.7,194,No Failure,97.0
1056,M,298.3,308.4,1486,44.2,196,No Failure,65.33333333333333
1057,M,298.2,308.3,1448,43.3,199,No Failure,66.33333333333333
1058,L,298.2,308.3,1688,32.0,202,No Failure,101.0
1059,L,298.0,308.3,1544,34.7,213,No Failure,106.5
1060,M,298.0,308.2,1373,51.2,215,No Failure,71.66666666666667
1061,L,298.0,308.2,1365,52.9,218,Overstrain Failure,109.0
1062,L,298.0,308.1,1877,24.3,0,No Failure,0.0
1063,L,297.9,308.1,1531,40.8,2,No Failure,1.0
1064,L,297.9,308.0,1501,36.7,4,No Failure,2.0
1065,L,297.9,308.0,1490,46.2,6,No Failure,3.0
1066,L,297.8,307.8,1597,38.2,11,No Failure,5.5
1067,L,297.8,307.8,1396,42.5,23,No Failure,11.5
1068,L,297.8,307.8,1412,48.3,27,No Failure,13.5
1069,L,297.8,307.8,1573,37.9,33,No Failure,16.5
1070,M,297.8,307.9,1726,27.3,35,No Failure,11.666666666666666
1071,L,297.9,308.0,1296,62.9,41,No Failure,20.5
1072,M,297.8,307.9,1802,25.8,43,No Failure,14.333333333333334
1073,L,297.9,307.8,1286,59.5,55,No Failure,27.5
1074,L,297.9,307.7,1590,34.6,57,No Failure,28.5
1075,L,297.9,307.7,1492,43.7,59,No Failure,29.5
1076,H,297.7,307.6,1538,38.3,63,No Failure,12.6
1077,L,297.7,307.6,1921,22.9,68,No Failure,34.0
1078,M,297.8,307.8,1310,57.9,70,No Failure,23.333333333333332
1079,L,297.9,307.8,1365,46.9,73,No Failure,36.5
1080,L,297.9,307.8,1499,37.5,78,No Failure,39.0
1081,L,297.9,307.8,1451,38.2,80,No Failure,40.0
1082,M,297.9,307.9,1336,54.4,82,No Failure,27.333333333333332
1083,L,297.9,307.9,1426,43.6,89,No Failure,44.5
1084,H,297.9,307.9,1406,58.5,93,No Failure,18.6
1085,L,297.8,307.8,1383,56.5,98,No Failure,49.0
1086,L,297.9,307.8,1505,37.3,100,No Failure,50.0
1087,L,297.9,307.8,1665,33.9,102,No Failure,51.0
1088,M,297.9,307.8,1450,43.5,106,No Failure,35.333333333333336
1089,L,298.0,307.8,1567,36.4,109,No Failure,54.5
1090,M,298.0,308.0,1555,37.0,111,No Failure,37.0
1091,H,298.0,307.8,1588,35.4,114,No Failure,22.8
1092,M,297.9,307.7,1527,42.8,125,No Failure,41.666666666666664
1093,L,297.9,307.8,1373,50.2,130,No Failure,65.0
1094,H,297.9,307.8,1635,34.0,142,No Failure,28.4
1095,L,298.2,308.1,1379,62.3,149,No Failure,74.5
1096,M,298.2,308.0,1577,35.9,151,No Failure,50.333333333333336
1097,L,298.2,308.1,1532,42.5,154,No Failure,77.0
1098,H,298.1,308.0,1570,35.3,159,No Failure,31.8
1099,L,298.1,308.0,1697,31.0,164,No Failure,82.0
1100,L,298.2,308.0,1499,44.1,166,No Failure,83.0
1101,M,298.2,308.0,1411,47.2,168,No Failure,56.0
1102,M,298.1,307.9,1759,28.6,176,No Failure,58.666666666666664
1103,H,298.2,307.9,1491,39.7,181,No Failure,36.2
1104,L,298.2,307.9,1769,27.2,188,No Failure,94.0
1105,L,298.2,307.9,1551,34.1,190,No Failure,95.0
1106,L,298.2,307.9,1544,31.4,192,No Failure,96.0
1107,L,298.2,307.8,1528,31.1,194,No Failure,97.0
1108,L,298.1,307.9,1614,35.8,196,No Failure,98.0
1109,M,298.1,307.8,1384,43.7,200,No Failure,66.66666666666667
1110,L,298.0,307.7,1407,43.9,205,No Failure,102.5
1111,H,297.9,307.6,1418,43.0,207,No Failure,41.4
1112,M,297.9,307.5,1647,30.8,212,No Failure,70.66666666666667
1113,L,298.0,307.5,1644,32.8,215,No Failure,107.5
1114,L,298.0,307.5,1792,27.9,217,No Failure,108.5
1115,M,297.9,307.4,1403,52.8,0,No Failure,0.0
1116,L,297.8,307.3,1438,44.5,3,No Failure,1.5
1117,L,297.9,307.3,1824,26.3,5,No Failure,2.5
1118,H,297.9,307.3,1663,28.7,7,No Failure,1.4
1119,L,297.9,307.3,1502,36.7,12,No Failure,6.0
1120,L,297.9,307.4,1606,35.5,14,No Failure,7.0
1121,L,297.9,307.5,1561,37.7,16,No Failure,8.0
1122,M,297.9,307.4,1435,42.9,18,No Failure,6.0
1123,L,297.9,307.5,1602,38.3,21,No Failure,10.5
1124,M,298.1,307.6,1764,27.7,23,No Failure,7.666666666666667
1125,H,298.0,307.5,1683,27.8,26,No Failure,5.2
1126,L,298.0,307.5,1618,35.2,31,No Failure,15.5
1127,L,298.0,307.6,1509,41.6,33,No Failure,16.5
1128,M,297.9,307.6,1519,44.0,37,No Failure,12.333333333333334
1129,L,298.1,307.7,1289,48.3,42,No Failure,21.0
1130,L,298.0,307.7,1479,42.5,47,No Failure,23.5
1131,L,298.0,307.7,1430,47.3,49,No Failure,24.5
1132,M,298.1,307.8,1636,36.7,51,No Failure,17.0
1133,M,298.1,307.8,1503,44.7,54,No Failure,18.0
1134,L,298.2,307.8,1439,41.6,62,No Failure,31.0
1135,L,298.2,307.8,1749,26.1,66,No Failure,33.0
1136,L,298.2,307.8,1530,35.9,68,No Failure,34.0
1137,L,298.2,307.8,1355,51.3,70,No Failure,35.0
1138,L,298.2,307.8,1515,46.7,74,No Failure,37.0
1139,L,298.2,307.8,1388,48.6,76,No Failure,38.0
1140,L,298.2,307.8,1585,34.6,78,No Failure,39.0
1141,L,298.1,307.7,1523,37.7,80,No Failure,40.0
1142,L,298.2,307.6,1369,54.5,82,No Failure,41.0
1143,M,298.2,307.7,1681,31.0,84,No Failure,28.0
1144,L,298.2,307.7,1459,44.5,89,No Failure,44.5
1145,L,298.2,307.7,1688,32.4,91,No Failure,45.5
1146,M,298.2,307.7,1952,21.6,93,No Failure,31.0
1147,L,298.2,307.8,2029,19.9,96,No Failure,48.0
1148,M,298.3,307.8,1457,52.5,98,No Failure,32.666666666666664
1149,M,298.3,307.8,1392,50.4,101,No Failure,33.666666666666664
1150,L,298.3,307.7,1465,49.4,109,No Failure,54.5
1151,M,298.3,307.7,1439,43.8,111,No Failure,37.0
1152,M,298.3,307.8,1330,55.4,114,No Failure,38.0
1153,M,298.3,307.9,1485,42.0,117,No Failure,39.0
1154,H,298.4,307.9,1700,28.2,120,No Failure,24.0
1155,L,298.4,308.0,1515,42.8,125,No Failure,62.5
1156,L,298.4,308.0,1380,47.6,130,No Failure,65.0
1157,H,298.4,307.9,1948,21.4,136,No Failure,27.2
1158,M,298.5,307.9,1640,33.1,146,No Failure,48.666666666666664
1159,L,298.5,308.0,1379,49.6,152,No Failure,76.0
1160,M,298.5,308.0,1461,51.9,157,No Failure,52.333333333333336
1161,L,298.5,308.0,1624,29.8,160,No Failure,80.0
1162,L,298.4,307.9,2381,14.2,164,No Failure,82.0
1163,H,298.4,307.7,1626,31.1,166,Random Failures,33.2
1164,L,298.3,307.7,1576,33.8,171,No Failure,85.5
1165,L,298.3,307.6,1942,20.6,176,No Failure,88.0
1166,L,298.2,307.6,1492,37.2,178,No Failure,89.0
1167,M,298.0,307.4,1463,46.5,182,No Failure,60.666666666666664
1168,M,298.1,307.4,1363,60.1,187,No Failure,62.333333333333336
1169,M,298.1,307.4,1335,56.2,190,No Failure,63.333333333333336
1170,L,298.1,307.4,1608,33.9,193,No Failure,96.5
1171,H,298.0,307.4,1606,35.2,195,No Failure,39.0
1172,L,298.1,307.5,1684,33.1,200,No Failure,100.0
1173,H,298.2,307.6,1460,48.6,204,No Failure,40.8
1174,L,298.2,307.6,1511,31.0,209,Tool Wear Failure,104.5
1175,H,298.2,307.6,1318,55.7,0,No Failure,0.0
1176,L,298.2,307.6,1368,51.8,5,No Failure,2.5
1177,M,298.3,307.7,1520,41.4,10,No Failure,3.3333333333333335
1178,L,298.5,308.0,1384,59.5,27,No Failure,13.5
1179,L,298.5,308.0,1404,48.1,32,No Failure,16.0
1180,L,298.5,308.1,1564,31.1,34,No Failure,17.0
1181,H,298.6,308.2,1555,36.8,36,No Failure,7.2
1182,L,298.6,308.2,1325,54.0,41,No Failure,20.5
1183,M,298.6,308.2,1488,44.0,43,No Failure,14.333333333333334
1184,L,298.5,308.1,1662,28.6,48,No Failure,24.0
1185,L,298.4,308.0,1571,37.4,50,No Failure,25.0
1186,H,298.3,308.0,1553,41.0,52,No Failure,10.4
1187,L,298.3,308.0,2886,3.8,57,Power Failure,28.5
1188,L,298.2,308.0,1538,38.2,59,No Failure,29.5
1189,L,298.4,308.2,1618,33.0,61,No Failure,30.5
1190,L,298.3,308.0,1442,47.3,65,No Failure,32.5
1191,L,298.2,307.9,1313,67.3,67,Power Failure,33.5
1192,L,298.2,307.9,1847,23.6,69,No Failure,34.5
1193,L,298.1,307.8,1524,40.8,71,No Failure,35.5
1194,M,298.1,307.7,1445,48.0,73,No Failure,24.333333333333332
1195,L,298.1,307.8,1761,28.2,76,No Failure,38.0
1196,M,298.1,307.8,1514,43.5,78,No Failure,26.0
1197,M,298.0,307.6,1508,41.8,89,No Failure,29.666666666666668
1198,M,298.0,307.5,1524,36.3,98,No Failure,32.666666666666664
1199,H,298.1,307.6,1496,44.1,104,No Failure,20.8
1200,L,298.1,307.7,1495,48.1,111,No Failure,55.5
1201,H,298.1,307.7,1376,56.2,113,No Failure,22.6
1202,H,298.0,307.6,1593,32.2,118,No Failure,23.6
1203,L,298.0,307.6,1654,28.9,123,No Failure,61.5
1204,L,298.1,307.6,1364,53.8,129,No Failure,64.5
1205,M,298.1,307.8,1569,31.2,131,No Failure,43.666666666666664
1206,L,298.2,307.8,1476,36.8,134,No Failure,67.0
1207,L,298.1,307.7,1479,45.0,136,No Failure,68.0
1208,M,298.1,307.6,1565,36.3,140,No Failure,46.666666666666664
1209,L,298.1,307.7,1664,27.6,145,No Failure,72.5
1210,M,298.1,307.7,1435,40.9,147,No Failure,49.0
1211,L,298.1,307.5,1493,43.7,153,No Failure,76.5
1212,L,298.1,307.6,1354,43.3,155,No Failure,77.5
1213,L,298.1,307.6,1488,39.4,157,No Failure,78.5
1214,L,298.1,307.7,1414,48.7,159,No Failure,79.5
1215,L,298.1,307.5,1391,57.4,161,No Failure,80.5
1216,H,297.8,307.3,1516,40.1,166,No Failure,33.2
1217,M,297.9,307.3,1420,47.8,171,No Failure,57.0
1218,L,297.8,307.2,1351,56.3,174,No Failure,87.0
1219,L,297.8,307.2,1880,23.0,176,No Failure,88.0
1220,L,297.8,307.3,1859,24.0,178,No Failure,89.0
1221,M,297.8,307.4,1330,51.7,183,No Failure,61.0
1222,L,297.8,307.2,1498,38.1,188,No Failure,94.0
1223,H,297.8,307.3,1555,35.8,190,No Failure,38.0
1224,L,297.7,307.2,1518,35.8,195,No Failure,97.5
1225,L,297.7,307.2,1392,43.0,197,No Failure,98.5
1226,M,297.7,307.2,1405,43.7,2,No Failure,0.6666666666666666
1227,L,297.7,307.2,1668,37.8,5,No Failure,2.5
1228,H,297.7,307.1,1855,22.5,7,No Failure,1.4
1229,M,297.6,307.1,1471,44.9,14,No Failure,4.666666666666667
1230,L,297.7,307.2,1444,40.0,17,No Failure,8.5
1231,H,297.7,307.2,1429,44.1,26,No Failure,5.2
1232,L,297.7,307.2,1668,32.7,31,No Failure,15.5
1233,M,297.7,307.2,1372,52.8,33,No Failure,11.0
1234,M,297.6,307.1,1526,39.1,39,No Failure,13.0
1235,L,297.6,307.2,1486,40.6,42,No Failure,21.0
1236,M,297.6,307.2,1470,42.6,44,No Failure,14.666666666666666
1237,M,297.8,307.4,1752,26.1,52,No Failure,17.333333333333332
1238,L,297.7,307.4,1643,36.5,55,No Failure,27.5
1239,M,297.8,307.4,1488,36.1,57,No Failure,19.0
1240,L,297.8,307.4,1355,45.8,60,No Failure,30.0
1241,L,297.9,307.7,1517,44.4,67,No Failure,33.5
1242,L,297.9,307.7,1546,37.6,72,No Failure,36.0
1243,L,297.9,307.7,1567,34.7,74,No Failure,37.0
1244,M,298.1,307.9,1662,28.9,76,No Failure,25.333333333333332
1245,L,298.3,308.0,1361,56.9,81,No Failure,40.5
1246,L,298.3,308.0,1486,42.3,86,No Failure,43.0
1247,L,298.3,308.1,1326,58.4,90,No Failure,45.0
1248,L,298.4,308.1,1367,57.8,92,No Failure,46.0
1249,L,298.4,308.1,1598,32.7,94,No Failure,47.0
1250,L,298.3,308.0,1242,62.0,98,No Failure,49.0
1251,M,298.2,307.8,1566,33.8,100,No Failure,33.333333333333336
1252,M,298.2,307.7,1608,33.8,106,No Failure,35.333333333333336
1253,L,298.1,307.7,1705,29.1,109,No Failure,54.5
1254,M,298.0,307.6,1581,43.4,113,No Failure,37.666666666666664
1255,M,298.0,307.6,1792,26.0,119,No Failure,39.666666666666664
1256,L,298.0,307.6,1683,32.8,122,No Failure,61.0
1257,L,297.9,307.6,1503,40.7,124,No Failure,62.0
1258,M,297.9,307.5,1642,32.4,126,No Failure,42.0
1259,M,297.8,307.4,1902,24.3,129,No Failure,43.0
1260,L,297.8,307.4,1512,40.8,137,No Failure,68.5
1261,L,297.7,307.4,1764,29.0,139,No Failure,69.5
1262,M,297.8,307.4,1438,43.6,141,No Failure,47.0
1263,L,297.8,307.5,1631,29.9,144,No Failure,72.0
1264,H,297.9,307.5,1880,23.3,146,No Failure,29.2
1265,L,297.9,307.6,1344,54.3,151,No Failure,75.5
1266,L,297.8,307.4,1418,41.2,155,No Failure,77.5
1267,L,297.8,307.5,1372,54.1,157,No Failure,78.5
1268,L,297.8,307.5,1388,40.0,159,No Failure,79.5
1269,H,297.9,307.6,1493,36.0,161,No Failure,32.2
1270,M,297.9,307.6,1505,40.1,166,No Failure,55.333333333333336
1271,L,298.0,307.6,1694,29.1,169,No Failure,84.5
1272,L,297.9,307.6,1968,20.4,171,No Failure,85.5
1273,M,298.0,307.6,1569,35.6,173,No Failure,57.666666666666664
1274,L,297.9,307.6,1687,29.1,176,No Failure,88.0
1275,L,297.9,307.6,1430,52.4,178,No Failure,89.0
1276,H,298.0,307.7,1547,36.8,186,No Failure,37.2
1277,M,298.0,307.7,1621,34.9,194,No Failure,64.66666666666667
1278,M,298.0,307.8,1492,40.2,197,No Failure,65.66666666666667
1279,L,298.0,307.7,1492,38.7,202,No Failure,101.0
1280,L,298.0,307.7,1387,50.8,204,No Failure,102.0
1281,M,298.1,307.9,1463,47.3,206,No Failure,68.66666666666667
1282,L,298.1,307.9,2161,17.5,5,No Failure,2.5
1283,L,298.1,307.9,1665,32.0,7,No Failure,3.5
1284,L,298.0,307.8,1716,26.6,9,No Failure,4.5
1285,L,298.0,307.7,1529,34.1,11,No Failure,5.5
1286,L,297.9,307.7,1353,50.7,13,No Failure,6.5
1287,L,297.9,307.7,1537,37.7,15,No Failure,7.5
1288,L,298.0,307.7,1606,30.8,17,No Failure,8.5
1289,L,298.0,307.8,1623,29.9,24,No Failure,12.0
1290,M,298.1,307.9,1569,37.0,29,No Failure,9.666666666666666
1291,M,298.2,308.0,1969,21.7,32,No Failure,10.666666666666666
1292,M,298.1,308.0,1686,29.3,35,No Failure,11.666666666666666
1293,L,298.1,308.0,1638,35.1,38,No Failure,19.0
1294,L,298.1,307.9,1698,33.3,40,No Failure,20.0
1295,M,298.1,307.9,1377,55.1,42,No Failure,14.0
1296,M,298.1,308.0,2129,18.4,45,No Failure,15.0
1297,L,298.2,308.0,1411,42.4,48,No Failure,24.0
1298,L,298.1,307.9,1517,40.8,50,No Failure,25.0
1299,M,298.1,307.9,1303,53.9,52,No Failure,17.333333333333332
1300,L,298.1,307.9,1578,35.6,55,No Failure,27.5
1301,L,298.1,307.9,1425,58.2,57,No Failure,28.5
1302,L,298.1,308.0,1456,42.4,59,No Failure,29.5
1303,L,298.1,308.0,1704,30.9,61,No Failure,30.5
1304,L,298.1,308.1,1616,32.8,65,No Failure,32.5
1305,L,298.2,308.1,1622,34.9,67,No Failure,33.5
1306,M,298.1,308.0,1543,41.9,73,No Failure,24.333333333333332
1307,L,298.0,307.8,1839,22.7,79,No Failure,39.5
1308,L,297.9,307.7,1593,34.9,83,No Failure,41.5
1309,L,297.9,307.8,1459,46.9,85,No Failure,42.5
1310,L,297.9,307.7,1308,55.2,87,No Failure,43.5
1311,H,297.9,307.7,1618,35.9,92,No Failure,18.4
1312,H,297.9,307.7,1464,43.2,97,No Failure,19.4
1313,M,297.8,307.6,1352,49.4,102,No Failure,34.0
1314,L,297.8,307.6,1446,51.4,105,No Failure,52.5
1315,L,297.8,307.5,1448,51.2,107,No Failure,53.5
1316,M,297.8,307.5,1405,46.9,113,No Failure,37.666666666666664
1317,L,297.8,307.5,1581,33.1,116,No Failure,58.0
1318,L,297.9,307.6,1515,40.5,118,No Failure,59.0
1319,L,297.9,307.6,1589,37.8,120,No Failure,60.0
1320,L,298.0,307.6,1281,50.8,122,No Failure,61.0
1321,H,297.8,307.5,1631,31.3,124,No Failure,24.8
1322,M,297.9,307.6,1202,67.0,129,No Failure,43.0
1323,L,297.9,307.6,1298,52.7,132,No Failure,66.0
1324,L,297.9,307.6,1612,30.7,134,No Failure,67.0
1325,L,297.9,307.6,1747,25.3,136,No Failure,68.0
1326,L,298.0,307.7,1422,45.6,140,No Failure,70.0
1327,M,298.1,307.7,1419,47.4,142,No Failure,47.333333333333336
1328,M,298.0,307.6,1301,58.5,155,No Failure,51.666666666666664
1329,L,298.0,307.6,1385,45.0,158,No Failure,79.0
1330,M,298.0,307.5,1387,45.5,166,No Failure,55.333333333333336
1331,L,298.1,307.6,1498,42.9,171,No Failure,85.5
1332,M,298.2,307.8,1599,31.2,173,No Failure,57.666666666666664
1333,L,298.2,307.9,1785,23.4,181,No Failure,90.5
1334,L,298.2,307.8,1423,48.1,183,No Failure,91.5
1335,M,298.2,307.8,1583,36.6,185,No Failure,61.666666666666664
1336,L,298.2,307.8,1375,46.6,188,No Failure,94.0
1337,M,298.3,308.0,1463,42.5,190,No Failure,63.333333333333336
1338,L,298.3,308.0,1451,47.1,196,No Failure,98.0
1339,L,298.3,308.1,1672,41.3,0,No Failure,0.0
1340,L,298.4,308.0,1540,37.8,7,No Failure,3.5
1341,L,298.4,308.2,1604,34.9,11,No Failure,5.5
1342,L,298.5,308.2,1451,47.5,18,No Failure,9.0
1343,L,298.5,308.3,1504,38.0,20,No Failure,10.0
1344,M,298.5,308.3,1381,50.5,22,No Failure,7.333333333333333
1345,L,298.6,308.3,1278,60.5,32,No Failure,16.0
1346,L,298.7,308.5,1616,30.2,34,No Failure,17.0
1347,L,298.6,308.4,1397,46.4,36,No Failure,18.0
1348,L,298.6,308.4,1310,59.7,40,No Failure,20.0
1349,L,298.5,308.2,1301,66.3,42,Power Failure,21.0
1350,L,298.5,308.3,1458,44.0,44,No Failure,22.0
1351,L,298.7,308.5,1483,42.5,46,No Failure,23.0
1352,M,298.7,308.5,1660,27.0,50,No Failure,16.666666666666668
1353,L,298.7,308.5,1480,42.2,58,No Failure,29.0
1354,L,298.7,308.4,1373,46.9,60,No Failure,30.0
1355,L,298.7,308.5,1444,54.2,62,No Failure,31.0
1356,M,298.7,308.6,1722,24.7,64,No Failure,21.333333333333332
1357,M,298.7,308.5,1360,52.9,69,No Failure,23.0
1358,L,298.7,308.4,1750,25.8,72,No Failure,36.0
1359,M,298.7,308.3,1349,46.6,74,No Failure,24.666666666666668
1360,L,298.7,308.5,1668,35.2,77,No Failure,38.5
1361,L,298.8,308.6,1331,62.8,81,No Failure,40.5
1362,L,298.8,308.5,1444,42.2,83,No Failure,41.5
1363,M,298.8,308.5,1425,47.4,90,No Failure,30.0
1364,M,298.9,308.6,1469,34.2,93,No Failure,31.0
1365,L,299.0,308.7,1892,22.8,96,No Failure,48.0
1366,H,299.0,308.7,1940,19.9,98,No Failure,19.6
1367,L,299.1,308.9,1686,29.6,108,No Failure,54.0
1368,L,299.1,308.9,1680,27.2,110,No Failure,55.0
1369,M,299.1,308.9,1397,52.4,112,No Failure,37.333333333333336
1370,L,299.3,309.1,1470,41.1,118,No Failure,59.0
1371,M,299.3,309.1,1703,31.3,120,No Failure,40.0
1372,M,299.3,309.2,1586,37.9,129,No Failure,43.0
1373,M,299.4,309.2,1470,44.4,135,No Failure,45.0
1374,L,299.5,309.3,1477,40.4,138,No Failure,69.0
1375,L,299.5,309.3,1382,61.0,140,No Failure,70.0
1376,L,299.5,309.3,1333,54.1,147,No Failure,73.5
1377,L,299.5,309.3,1520,42.3,149,No Failure,74.5
1378,M,299.5,309.3,1902,24.0,151,No Failure,50.333333333333336
1379,H,299.5,309.4,1386,44.4,154,No Failure,30.8
1380,L,299.7,309.6,1359,50.7,161,No Failure,80.5
1381,M,299.7,309.6,1477,42.7,163,No Failure,54.333333333333336
1382,L,299.6,309.5,1453,41.4,168,No Failure,84.0
1383,L,299.7,309.6,1512,36.2,172,No Failure,86.0
1384,L,299.7,309.6,1553,36.8,174,No Failure,87.0
1385,H,299.7,309.6,1553,41.0,179,No Failure,35.8
1386,L,299.6,309.5,1570,35.5,189,Random Failures,94.5
1387,L,299.6,309.4,1677,31.1,191,No Failure,95.5
1388,L,299.5,309.4,1602,31.5,193,No Failure,96.5
1389,L,299.4,309.3,1544,36.0,197,No Failure,98.5
1390,L,299.4,309.4,1701,31.2,199,No Failure,99.5
1391,M,299.4,309.3,1692,28.4,201,No Failure,67.0
1392,M,299.3,309.3,1523,37.9,204,No Failure,68.0
1393,M,299.4,309.3,1485,47.1,209,No Failure,69.66666666666667
1394,H,299.4,309.2,1513,36.1,212,No Failure,42.4
1395,H,299.4,309.3,1743,28.2,0,No Failure,0.0
1396,L,299.5,309.3,1442,46.2,5,No Failure,2.5
1397,L,299.5,309.3,1462,46.7,7,No Failure,3.5
1398,H,299.4,309.3,1439,49.7,9,No Failure,1.8
1399,L,299.5,309.3,1577,36.6,14,No Failure,7.0
1400,L,299.6,309.4,1331,46.4,16,No Failure,8.0
1401,L,299.5,309.2,1393,47.3,20,No Failure,10.0
1402,L,299.4,309.2,1433,42.1,22,No Failure,11.0
1403,L,299.4,309.2,1444,48.2,24,No Failure,12.0
1404,L,299.4,309.2,1564,39.0,26,No Failure,13.0
1405,L,299.4,309.3,1377,43.6,28,No Failure,14.0
1406,M,299.4,309.4,1326,47.5,35,No Failure,11.666666666666666
1407,L,299.4,309.3,1401,59.0,38,No Failure,19.0
1408,L,299.4,309.3,1596,31.8,40,No Failure,20.0
1409,L,299.3,309.1,1495,44.0,55,No Failure,27.5
1410,L,299.4,309.1,1645,28.6,57,No Failure,28.5
1411,M,299.4,309.1,1417,47.3,59,No Failure,19.666666666666668
1412,H,299.4,309.0,1415,51.7,62,No Failure,12.4
1413,L,299.4,309.0,1436,47.9,75,No Failure,37.5
1414,L,299.5,309.1,1852,22.6,77,No Failure,38.5
1415,L,299.5,309.1,1863,22.5,79,No Failure,39.5
1416,H,299.4,309.1,1373,44.1,81,No Failure,16.2
1417,L,299.4,309.0,1404,47.3,86,No Failure,43.0
1418,M,299.4,309.0,1381,44.9,88,No Failure,29.333333333333332
1419,H,299.4,308.9,1762,29.3,91,No Failure,18.2
1420,H,299.3,308.9,1429,43.0,96,No Failure,19.2
1421,M,299.2,308.8,1503,37.4,109,No Failure,36.333333333333336
1422,M,299.2,308.8,1523,38.9,112,No Failure,37.333333333333336
1423,L,299.3,309.0,1491,38.4,115,No Failure,57.5
1424,L,299.3,308.9,1258,69.4,119,Power Failure,59.5
1425,L,299.3,309.0,1449,46.5,121,No Failure,60.5
1426,H,299.3,309.0,1425,40.6,123,No Failure,24.6
1427,H,299.4,309.0,1607,33.7,130,No Failure,26.0
1428,L,299.4,309.1,1432,45.4,137,No Failure,68.5
1429,L,299.4,309.0,1660,28.4,139,No Failure,69.5
1430,H,299.3,309.0,1732,29.7,141,No Failure,28.2
1431,L,299.3,309.0,1473,46.3,146,No Failure,73.0
1432,L,299.3,309.0,1511,47.8,148,No Failure,74.0
1433,L,299.2,308.9,1588,41.5,150,No Failure,75.0
1434,L,299.3,308.9,1623,31.1,152,No Failure,76.0
1435,L,299.3,309.0,1415,47.6,156,No Failure,78.0
1436,L,299.4,308.9,1451,40.5,168,No Failure,84.0
1437,L,299.3,308.8,1647,32.9,172,No Failure,86.0
1438,L,299.4,308.9,1550,33.7,174,No Failure,87.0
1439,L,299.4,309.0,1613,32.2,178,No Failure,89.0
1440,H,299.3,308.8,1636,35.5,180,No Failure,36.0
1441,M,299.3,308.7,1289,51.5,185,No Failure,61.666666666666664
1442,H,299.3,308.8,1397,45.4,191,No Failure,38.2
1443,M,299.4,309.0,1939,19.8,204,No Failure,68.0
1444,L,299.4,309.0,1507,41.0,213,No Failure,106.5
1445,L,299.4,309.1,1464,40.5,215,No Failure,107.5
1446,L,299.5,309.1,1336,42.1,217,No Failure,108.5
1447,L,299.6,309.2,1540,36.7,221,No Failure,110.5
1448,M,299.6,309.2,1867,23.4,225,Tool Wear Failure,75.0
1449,H,299.6,309.1,1588,41.3,0,No Failure,0.0
1450,M,299.5,309.1,1420,49.5,5,No Failure,1.6666666666666667
1451,L,299.5,309.1,1415,49.2,8,No Failure,4.0
1452,L,299.5,309.1,1502,44.6,13,No Failure,6.5
1453,L,299.6,309.2,1572,33.4,20,No Failure,10.0
1454,M,299.5,309.2,1590,35.9,22,No Failure,7.333333333333333
1455,M,299.6,309.3,1387,48.3,25,No Failure,8.333333333333334
1456,M,299.6,309.2,1393,47.7,28,No Failure,9.333333333333334
1457,L,299.6,309.2,1601,33.3,33,No Failure,16.5
1458,H,299.5,309.1,1548,44.3,40,No Failure,8.0
1459,M,299.5,309.2,1314,61.8,45,No Failure,15.0
1460,L,299.8,309.4,1475,43.4,51,No Failure,25.5
1461,L,299.8,309.4,1630,32.4,53,No Failure,26.5
1462,L,299.7,309.4,1445,42.9,55,No Failure,27.5
1463,M,299.8,309.4,1439,47.4,57,No Failure,19.0
1464,H,299.7,309.2,1554,41.6,62,No Failure,12.4
1465,L,299.6,309.0,1648,33.6,70,No Failure,35.0
1466,L,299.6,309.0,1472,48.8,72,No Failure,36.0
1467,M,299.5,308.9,1448,42.9,74,No Failure,24.666666666666668
1468,M,299.6,308.9,1568,35.3,77,No Failure,25.666666666666668
1469,L,299.6,308.9,1613,30.8,80,No Failure,40.0
1470,M,299.7,308.9,1478,41.0,87,No Failure,29.0
1471,L,299.8,309.1,1546,35.6,93,No Failure,46.5
1472,L,299.8,309.0,1567,36.1,95,No Failure,47.5
1473,M,299.9,309.2,1548,35.7,97,No Failure,32.333333333333336
1474,L,299.9,309.2,1624,34.6,105,No Failure,52.5
1475,L,299.7,309.2,1401,54.1,118,No Failure,59.0
1476,L,299.7,309.1,1473,39.4,125,No Failure,62.5
1477,H,299.7,309.2,1468,49.6,132,No Failure,26.4
1478,L,299.7,309.2,1645,30.8,137,No Failure,68.5
1479,L,299.7,309.1,1347,55.3,139,No Failure,69.5
1480,M,299.6,309.0,1736,26.1,146,No Failure,48.666666666666664
1481,L,299.7,309.0,1605,33.0,151,No Failure,75.5
